battle_id,category,model,value
battle_00001,Creative Writing,gemini-2.5-pro,0
battle_00001,Creative Writing,gemini-2.5-flash,1
battle_00002,Creative Writing,gemini-2.5-pro,0
battle_00002,Creative Writing,claude-opus-4-20250514-thinking-16k,1
battle_00003,Creative Writing,qwen3-235b-a22b-no-thinking,1
battle_00003,Creative Writing,claude-opus-4-20250514-thinking-16k,0
battle_00004,Creative Writing,grok-4-0709,0
battle_00004,Creative Writing,kimi-k2-0711-preview,1
battle_00005,Creative Writing,claude-opus-4-20250514,0
battle_00005,Creative Writing,qwen3-235b-a22b-no-thinking,1
battle_00006,Creative Writing,grok-3-preview-02-24,1
battle_00006,Creative Writing,o3-2025-04-16,0
battle_00007,Creative Writing,gemini-2.5-pro,0
battle_00007,Creative Writing,grok-3-preview-02-24,1
battle_00008,Creative Writing,deepseek-r1-0528,1
battle_00008,Creative Writing,gemini-2.5-flash,0
battle_00009,Creative Writing,claude-opus-4-20250514,1
battle_00009,Creative Writing,llama-4-maverick-03-26-experimental,0
battle_00010,Creative Writing,chatgpt-4o-latest-20250326,1
battle_00010,Creative Writing,gemini-2.5-flash-preview-04-17,0
battle_00011,Creative Writing,gemini-2.5-pro-preview-05-06,1
battle_00011,Creative Writing,grok-3-preview-02-24,0
battle_00012,Creative Writing,claude-opus-4-20250514,0
battle_00012,Creative Writing,qwen3-235b-a22b-no-thinking,1
battle_00013,Creative Writing,llama-4-maverick-03-26-experimental,1
battle_00013,Creative Writing,qwen3-235b-a22b-no-thinking,0
battle_00014,Creative Writing,grok-3-preview-02-24,0
battle_00014,Creative Writing,claude-opus-4-20250514-thinking-16k,1
battle_00015,Creative Writing,gemini-2.5-pro,1
battle_00015,Creative Writing,qwen3-235b-a22b-no-thinking,0
battle_00016,Creative Writing,chatgpt-4o-latest-20250326,0
battle_00016,Creative Writing,gemini-2.5-pro-preview-03-25,1
battle_00017,Creative Writing,gemini-2.5-flash-preview-04-17,0
battle_00017,Creative Writing,o3-2025-04-16,1
battle_00018,Creative Writing,qwen3-235b-a22b-no-thinking,0
battle_00018,Creative Writing,chatgpt-4o-latest-20250326,1
battle_00019,Creative Writing,deepseek-r1-0528,1
battle_00019,Creative Writing,grok-3-preview-02-24,0
battle_00020,Creative Writing,claude-opus-4-20250514-thinking-16k,1
battle_00020,Creative Writing,claude-opus-4-20250514,0
battle_00021,Creative Writing,gemini-2.5-flash,1
battle_00021,Creative Writing,claude-opus-4-20250514,0
battle_00022,Creative Writing,claude-opus-4-20250514,1
